ID Google Scholar,Name,Affiliation,Citations,Profile URL
2L0QwtcAAAAJ,Mochamad Ziaul Haq,Universitas Katolik Parahyangan,617,https://scholar.google.com/citations?hl=en&user=2L0QwtcAAAAJ
BZn8ezwAAAAJ,James Rianto Situmorang,Universitas Katolik Parahyangan,611,https://scholar.google.com/citations?hl=en&user=BZn8ezwAAAAJ
U5wdFcQAAAAJ,Sani Susanto,"Professor in Industrial Engineering, Parahyangan Catholic University",604,https://scholar.google.com/citations?hl=en&user=U5wdFcQAAAAJ
pdKXQE8AAAAJ,Dedy Suryadi,Universitas Katolik Parahyangan,592,https://scholar.google.com/citations?hl=en&user=pdKXQE8AAAAJ
cs3srFsAAAAJ,Anton Soekiman,Universitas Katolik Parahyangan,577,https://scholar.google.com/citations?hl=en&user=cs3srFsAAAAJ
d8KLkTcAAAAJ,Hamfri Djajadikerta,Parahyangan Catholic University,550,https://scholar.google.com/citations?hl=en&user=d8KLkTcAAAAJ
3DL3JiUAAAAJ,Koerniatmanto Soetoprawiro,Universitas Katolik Parahyangan,548,https://scholar.google.com/citations?hl=en&user=3DL3JiUAAAAJ
668_8gkAAAAJ,JNM Tan-Soetedjo,Parahyangan Catholic University,537,https://scholar.google.com/citations?hl=en&user=668_8gkAAAAJ
R28VST0AAAAJ,Henky Muljana,"Department of Chemical Engineering, Parahyangan Catholic University",531,https://scholar.google.com/citations?hl=en&user=R28VST0AAAAJ
WeBcYLYAAAAJ,Catharina Badra Nawangpalupi,Universitas Katolik Parahyangan,529,https://scholar.google.com/citations?hl=en&user=WeBcYLYAAAAJ
RozW79AAAAAJ,Haryanto Siahaan,Parahyangan Catholic University,518,https://scholar.google.com/citations?hl=en&user=RozW79AAAAAJ
9qcMhy4AAAAJ,Susiana Prasetyo S.,Universitas Katolik Parahyangan,517,https://scholar.google.com/citations?hl=en&user=9qcMhy4AAAAJ
bYqhGTAAAAAJ,Mardiana Mardiana,Universitas Katolik Parahyangan,511,https://scholar.google.com/citations?hl=en&user=bYqhGTAAAAAJ
R0sags4AAAAJ,Jonathan Steven Komarudin,Universitas Katolik Parahyangan,498,https://scholar.google.com/citations?hl=en&user=R0sags4AAAAJ
NzOYqpMAAAAJ,Agus Gunawan,Universitas Katolik Parahyangan,491,https://scholar.google.com/citations?hl=en&user=NzOYqpMAAAAJ
